"doc_id","plane","scope","doc_type","lifecycle_state","operational_role","path","effective_date","supersedes","replaced_by","notes"
"DOC-P1-024-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_024_support_ontology_post_review_hardening_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-025-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_025_support_ontology_priority1_uplift_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-026-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_026_support_ontology_priority2_uplift_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P2-FULL-SOLUTION","implementation","full-solution","program_plan","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/programs/post_p1_026_full_solution_program_plan_v1.md","2026-03-08","","","Active successor program control"
"DOC-P2-MILESTONES","implementation","full-solution","milestone_manifest","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/manifests/phase2_milestones.csv","2026-03-08","","","P2 milestone control surface"
"DOC-P2-WORK-PACKAGES","implementation","full-solution","work_package_manifest","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/manifests/phase2_work_packages.csv","2026-03-08","","","P2 work-package control surface"
"DOC-P2-TRACEABILITY","implementation","full-solution","traceability_manifest","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/manifests/phase2_traceability_map.csv","2026-03-08","","","P2 program-to-gate mapping"
"DOC-P2-SUPERSESSION","implementation","full-solution","policy","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/p2_contract_supersession_policy_v1.md","2026-03-08","","","Controls P2 contract baseline, delta resolution, and any narrow supersession of implementation-facing contract surfaces"
"DOC-PROPOSALS-README","implementation","proposal-intake","readme","ACTIVE","REFERENCE","bootstrap/plans/inactive/proposals_backlog/README.md","2026-03-08","","","Describes proposal intake backlog"
"DOC-PROPOSALS-TEMPLATE","implementation","proposal-intake","template","ACTIVE","TEMPLATE","bootstrap/plans/inactive/proposals_backlog/TEMPLATE_proposal.md","2026-03-08","","","Proposal intake template"
"DOC-ARCHIVE-OF90","implementation","legacy-backlog","archive","ARCHIVED","ARCHIVE","bootstrap/plans/archive/ontoForge_90_Implementation-plane_backlog.v0.1.md","2026-03-06","","","Archived source backlog copy"
"DOC-ARCHIVE-OF91","implementation","legacy-backlog","archive","ARCHIVED","ARCHIVE","bootstrap/plans/archive/ontoForge_91_Build-Readiness_Backlog.v0.1.md","2026-03-06","","","Archived source backlog copy"
"DOC-ARCHIVE-SUPPORT-PROGRAM","implementation","support-ontology","archive","ARCHIVED","ARCHIVE","bootstrap/plans/archive/support_ontology_execution_program_v1.completed_2026-03-07.md","2026-03-07","","","Archived execution-program control"
"DOC-TARGET-OPERATING-MODEL","implementation","repo-planning","operating_model","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/planning_target_operating_model_v1.md","2026-03-08","","","Target operating model for planning discipline"
"DOC-MANIFEST-README","implementation","repo-planning","readme","ACTIVE","REFERENCE","bootstrap/plans/manifests/README.md","2026-03-08","","","Manifest-folder orientation"
"DOC-PLANS-MANIFEST","implementation","repo-planning","manifest","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/manifests/plans_manifest.csv","2026-03-08","","","Machine-readable classification of planning surfaces"
"DOC-P2-003-DECOMP","implementation","runtime2-compiler","decomposition","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/programs/p2_003_runtime2_compiler_decomposition_v1.md","2026-03-08","","","Active Runtime 2 compiler decomposition control for P2-003"
"DOC-CUTOVER-LEGACY-PROPOSAL","implementation","execution-model-cutover","migration_proposal","SUPERSEDED","REFERENCE","bootstrap/plans/inactive/reference/cutover_and_legacy_archive_proposal_v1.md","2026-03-08","","DOC-CUTOVER-C0-TRANSITION","Merged into C0 snapshot/transition/authority-switch active controls."
"DOC-CUTOVER-C0-SNAPSHOT","implementation","execution-model-cutover","cutover_snapshot_record","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/cutover_c0_snapshot_record_v1.md","2026-03-08","","","Authoritative C0 marker recording frozen legacy control-surface hashes and forward authority split."
"DOC-KERNEL-ALIGNED-EXEC-METHOD","implementation","execution-model-cutover","execution_method_guidance","SUPERSEDED","REFERENCE","bootstrap/plans/inactive/reference/kernel_aligned_project_execution_method_v1.md","2026-03-08","","DOC-KERNEL-PM-AUTHORITY-SWITCH","Merged into kernel execution profile and bundle validator contract surfaces."
"DOC-CUTOVER-C0-TRANSITION","implementation","execution-model-cutover","cutover_transition_plan","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/cutover_execution_transition_plan_v1.md","2026-03-08","","","Immediate post-C0 transition control defining first forward execution objects and dependency order."
"DOC-KERNEL-PM-AUTHORITY-SWITCH","implementation","execution-model-cutover","authority_switch_policy","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/kernel_pm_authority_switch_policy_v1.md","2026-03-08","","","Bundle-first authority policy for forward project-management records; CSV ledgers are projection-only for post-C0 work."
"DOC-KERNEL-PM-V1-SCOPE","implementation","kernel-pm-v1","scope_decision","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/kernel_pm_v1_scope_decision_full_profile_operations_v1.md","2026-03-09","","","Approved scope decision setting full-profile operations target for forward kernel PM work."
"DOC-BUNDLE-FIRST-CLASSIFICATION","implementation","repo-planning","repository_classification","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/active/bundle_first_repository_classification_2026-03-09.md","2026-03-09","","","Classifies active, reference, and archive surfaces for bundle-first repository operations"
"DOC-KERNEL-PM-AUDIT-20260308","implementation","kernel-pm-v1","audit_report","ARCHIVED","ARCHIVE","bootstrap/plans/archive/audits/kernel_pm_audit_2026-03-08.md","2026-03-09","","","Archived dated kernel PM audit baseline from 2026-03-08"
